,users,date,location,star,headers,body,fit,product,size,height and weight
0,Steven B.,21 Jun 2023,United States,5,Go to everyday jersey,"Love Ornot's House jersey so grabbed a Work jersey as a slightly heavier/roomier everyday jersey for gravel riding and XC. Material breathes well and fits snug without being too ""aero"" of a fit. Sizing is in par with the House, just slightly roomier, I'm 5'10"" 158 and wear a size medium.",N/A,Men's Work Jersey - Gravel,Medium,N/A
1,Martin S.,07 Oct 2022,United States,5,First ride...Ornot,I had been debating buying some Ornot kit and finally pulled the trigger. Very happy with my purchase! The jersey is very comfortable and pockets just the right size. I was unsure of what size to order but pleased with the Medium. I was on the line between Medium and Small. This fits slightly large on me but feels really good. Going to try a small next time.,4,Work Jersey - Gravel,Medium,"5' 7"" ish and 165 or so, sometimes more if I don't ride!"
2,Peter K.,15 Aug 2022,Finland,5,Fantastic,"Love the fit, fabric, and color. Great jersey ",3,Work Jersey - Gravel,,178 cm and 78 kgs
3,AARON H.,29 Jul 2022,United States,4,Gravel jersey,"Very good. The front is a touch long, so it bunches up a tad when bent over riding.",4,Work Jersey - Gravel,Medium,"5-9, 155 lbs"
4,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
5,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
6,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
7,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
8,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
9,David M.,12 Jul 2022,United States,5,Roomy is good. Baggy is bad.,"I do not like this product due to the fit. I have several flavors of the house jersey, all in medium, and they fit perfectly. I went with a medium in the Work jersey as well but it is entirely too baggy. Large zipper bump in front and rear pockets side all the way around my sides when carrying any weight. Material is great. Build quality is great. Fit quality is not for me.",5,Work Jersey - Gravel,Medium,5’5” 155 lbs
10,Rob M.,22 Jun 2022,United States,5,Ornot Work Jersey,Works and looks great.,4,Work Jersey - Gravel,Extra Large,"6'0"", 185lb"
11,Ben G.,06 Jun 2022,United States,4,Just a good jersey,"A well constructed, comfortable, nice looking (without all the bling) jersey.
A little bit snug for my taste, but the wife says its fine.",2,Work Jersey - Gravel,Medium,5’ 7”
12,Tode R.,28 May 2022,United States,5,Nice fit and oh so stylish!,Really great fit and the pockets are flexible and fit a lot of stuff.,3,Work Jersey - Gravel,Medium,"5'4"" 110lbs"
13,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
