,users,date,location,star,headers,body,fit,product,size,height and weight
309,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
310,Cole D.,14 Mar 2023,United States,5,Base Layer that is Just Right,"Some base layers are super tight, this is just right. 40 degree morning paired with an Ornot thermal Merino jersey was the perfect setup.",N/A,Men's Merino Base Layer - Dark Sapphire,MD,N/A
311,Nanette,09 Feb 2023,United States,5,Base layer is tops,"This base layer is stretchy enough to fit a woman’s body and cozy in the winter
months.",N/A,Men's Merino Base Layer - Dark Sapphire,XS,N/A
312,Mason D.,04 Feb 2023,United States,5,The perfect baselayer,This and a thermal for the cold mornings or with a summer weight jersey on for the cool but not frigid mornings. Really does a nice job at keeping me from overheating and keeps my core warm. Merino is awesome. Similar material as every other high end cycling company for considerably less too.,N/A,Men's Merino Base Layer - Dark Sapphire,SM,N/A
313,Jayson C.,21 Dec 2022,United States,5,Awesome Base Layer!,A great addition to any cooler weather ride. Warm but still breathable material that is super comfortable.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
314,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
315,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
316,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
317,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
318,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
319,Peter N.,13 Dec 2022,United States,5,Cozy,Great fit and fabric.,N/A,Merino Base Layer - Dark Sapphire,XL,N/A
320,Jason S.,28 Nov 2022,United States,5,Magic for the California Coast,"Really enjoy this base layer, living along the coast in CA provides for all sorts of weather conditions. This base layer has provided a nice degree of warmth. Very happy with it.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
321,Chris H.,30 Oct 2022,United States,5,Perfect addition to a jersey on cool days,"I purchased it to supplement jerseys on rides that were on the edge of ""too cold"" for a jersey alone, knowing I'll warm up and can open the zipper of my jersey. It's worked perfectly in that capacity.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
322,Jonny B.,21 Oct 2022,United States,5,Could it get any better?,No. No it couldn’t. This is my favorite base layer and I wear it no matter the temperature,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
323,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
324,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
325,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
326,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
327,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
328,Peter N.,13 Dec 2022,United States,5,Cozy,Great fit and fabric.,N/A,Merino Base Layer - Dark Sapphire,XL,N/A
329,Jason S.,28 Nov 2022,United States,5,Magic for the California Coast,"Really enjoy this base layer, living along the coast in CA provides for all sorts of weather conditions. This base layer has provided a nice degree of warmth. Very happy with it.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
330,Chris H.,30 Oct 2022,United States,5,Perfect addition to a jersey on cool days,"I purchased it to supplement jerseys on rides that were on the edge of ""too cold"" for a jersey alone, knowing I'll warm up and can open the zipper of my jersey. It's worked perfectly in that capacity.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
331,Jonny B.,21 Oct 2022,United States,5,Could it get any better?,No. No it couldn’t. This is my favorite base layer and I wear it no matter the temperature,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
332,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
333,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
334,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
335,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
336,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
337,Peter N.,13 Dec 2022,United States,5,Cozy,Great fit and fabric.,N/A,Merino Base Layer - Dark Sapphire,XL,N/A
338,Jason S.,28 Nov 2022,United States,5,Magic for the California Coast,"Really enjoy this base layer, living along the coast in CA provides for all sorts of weather conditions. This base layer has provided a nice degree of warmth. Very happy with it.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
339,Chris H.,30 Oct 2022,United States,5,Perfect addition to a jersey on cool days,"I purchased it to supplement jerseys on rides that were on the edge of ""too cold"" for a jersey alone, knowing I'll warm up and can open the zipper of my jersey. It's worked perfectly in that capacity.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
340,Jonny B.,21 Oct 2022,United States,5,Could it get any better?,No. No it couldn’t. This is my favorite base layer and I wear it no matter the temperature,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
341,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
342,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
343,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
344,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
345,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
346,Howard H.,23 Jul 2022,United States,5,Awesome,Comfortable and great fit…,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
347,Taylor P.,11 Jul 2022,United States,5,Excellent product,"Quick response time, got me a larger size promptly. The top is excellent not only do I use it as a base for days on gravel but I’ve been using it under my mtn bike jersey! Great product highly recommend!",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
348,Robert B.,06 Jul 2022,United States,5,Merino Base Layer - Dark Sapphire,"Appears well made, I’ve tried it thrice. Nice feel on the old torso, warm enough for a cool ride, but breathes pretty well. Color is unobtrusive. Dries fast after hand washing. A nice piece of kit.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
349,Mark S.,29 May 2022,United States,5,Perfect base layer!,Really regulates temp and comfort. Wearing into in coldt and hotter days with equal benefit. Highly recommend.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
350,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
351,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
352,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
353,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
354,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
355,Mark G.,25 May 2022,United States,5,Very Nice,Solid base layer. Good stretch and weight to the fabric. I am 6’ and 170 and the medium fits comfortably tight. Unless it is over 80 degrees this is my go to base layer.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
356,Samuel D.,02 Mar 2022,United States,5,Merino Base Layer,Awesome base layer very warm keeps me dry. ,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
357,Paul B.,23 Feb 2022,,4,Merino Base Layer - Oat Milk - Medium,"The base layer is nicely made and comfortable. My only complain is part of the garment was folded within the shipping bag. While opening the bag, I cut the base layer.

I recommend the garment. Be cautious when opening the bag in which it's shipped.",N/A,Merino Base Layer - Oat Milk,,N/A
358,Nick S.,10 Jan 2022,United States,5,Yes,"It's merino. Thin , warm, no sleeves merino. What else is there to say?",N/A,Merino Base Layer - Oat Milk,MD,N/A
359,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
360,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
361,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
362,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
363,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
364,Rod H.,07 Jan 2022,United States,5,Well made for daily use,"Very good. Fits well -- Ornot runs ""cyclist"" in sizing so on the smaller end of any particular size's range. More fitted than club. More generous than, say, a Santini race cut.",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
365,Jim P.,20 Dec 2021,United States,5,"I don't write reviews, but this undershirt is just so good, I'm letting you know.","Wonderful, just wonderful. The best product of its kind, in my experience.",N/A,Merino Base Layer - Oat Milk,XL,N/A
366,Melissa S.,20 Dec 2021,United States,5,Best next to skin layer,"I have bought two; one for my husband 6’ 175 # Large and one for myself 5’8 155# Medium. We both agree that the fit is not too tight nor loose, it feels light against the skin and we live in Colorado so it is a go to staple most of the year. We do not wear it when it is temperatures over 85F or below 45F (we wear a little less or more, respectively).",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
367,alexander g.,17 Dec 2021,United States,5,versatile & well made from great company,"As a long time merino fan -- so happy to finally get my hands on one of these. So far I have used this in a couple cx races as well as a 200k ride with a 25 degree temperature fluctuation. It kept me warm under my OrNot skin suit in my races as well as perfectly dry and happy during one of my longest days in the saddle. I also wore this under a long sleeve t for a mountain bike jaunt. Super versatile, doesn't get stinky and keeps you comfy on about any ride! 10/10 would recommend.",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
368,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
369,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
370,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
371,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
372,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
373,Michael L.,16 Dec 2021,United States,5,"Gets the Job done, fits really well.","Its great! Versatile piece of kit. Fits true to size. Small 5'8, 140, fits perfect. Tucks in really nice under bibs and a lightweight jersey.",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
374,Marisa D.,14 Dec 2021,United States,5,great base layer,These run true to size (I find the jerseys and jackets run one size smaller than I usually wear). Keeping me nice and toasty on morning rides!,N/A,Merino Base Layer - Dark Sapphire,SM,N/A
375,mark t.,19 Nov 2021,United States,5,35 degree Fat Tire Bike Ride,Great base layer for cooler days!,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
376,Joey B.,17 Nov 2021,United States,5,Winter staple,Very comfortable. Definitely the place to start with winter clothing. ,N/A,Merino Base Layer - Oat Milk,SM,N/A
377,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
378,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
379,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
380,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
381,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
382,Dylan L.,06 Nov 2021,United States,5,Perfect Baselayer,"Just when you think you can't improve on a baselayer, OrNOt does just that. This thing is lightweight and keeps you toasty on those early morning rides, but wicks away the sweat when things warm up. Fits true to size: 5'11"", 135 lbs, and wear a small. Solid product, solid crew.",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
383,Matthew T.,06 Nov 2021,United States,5,Will be buying more!,Very happy with this so far. It's soft. It's warm. It's reasonably priced. It's made in the US. What more do you need!? Definitely will be buying one or 2 more.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
384,Joe Z.,29 Oct 2021,United States,5,Very comfortable.,"Nice and snug fit, super comfortable. Great with the wind vest, without, and with a jacket. I ride in 40-60° weather in the Pacific northwest and if I pair it with the wind vest I'm perfect. Closer to the 40s I'd bring a jacket in the jersey pocket when doing long descents.",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
385,Tony B.,26 Oct 2021,United States,5,Ornot Dark Sapphire Base is merino wool perfection.,"I’m in deep like with merino wool in all configurations. It’s comfortable, attractive, temp regulating and durable. Lightweight and warm It’s on my top shelf. One of the three shirts we all wear repeatedly. Buy it. You’ll love it.",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
386,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
387,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
388,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
389,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
390,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
391,Sarah S.,25 Oct 2021,United States,5,"Cozy, great fit","Super cozy, great fit. Sizing was spot on. Great for cooler temp riding. ",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
392,Boris W.,22 Oct 2021,United States,5,Versatility and comfort,"One of the best cycling garments I ever bought.
Very versatile, I found myself riding in sub 40f up to 70f and was comfortable the whole ride.
It is soft and very well made. Would definitely recommend to any cyclist who like to head out early in the morning.",N/A,Merino Base Layer - Dark Sapphire,,N/A
393,Bill B.,13 Oct 2021,United States,5,Merino sleeveless base layer,"I highly recommend this baselayer. Very versatile, can be worn at almost any temperature. With just a short sleeve jersey a 60F start and 80F finish was completely comfortable. Use as a first layer for colder temps as well. 
I am 5’11” 147 and ordered the small. ",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
394,Boris W.,13 Sep 2021,United States,5,Amazing range of temperatures,"I have been riding with this baselayer for a few months but never took the time to type a proper review. After yesterday's ride, I fell like I really need to.
I live in the Bay area where Ornot is located.
I left at sunrise when it was maybe 55F.
Temperatures during the ride went down to 41F and on my way back the numbers climbed back to 82F.
The whole ride I was really comfortable. Had to unzip my jersey as the heat was getting to me at the end but honestly, I can't think of one piece of garment with such a big range of temps.
This is the perfect solution for the crazy micro climates of the Bay Area.
Would definitely recommend.
One thing I'd add is a long sleeve version for real winter days.",N/A,Merino Base Layer - Dark Sapphire,,N/A
395,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
396,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
397,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
398,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
399,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
400,Christopher S.,26 Aug 2021,United States,5,Well made.,I purchased item to prepare for winter. It's well made and the fit is true to size.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
401,Samantha S.,17 Aug 2021,United States,5,Actually really great,"It hasn't been cold enough to wear this as a base layer BUT I've been wearing it around as a tank and it's great. I'm a 5'4"", 135lb. woman and the small fits me pretty well. I would say it rides up if I don't pull it back down appropriately but the seam around the bottom does a good job of keeping the shirt in place. I really like the blue as well. Overall, would buy again. Interested to see how it performs this winter.",N/A,Merino Base Layer - Dark Sapphire,XS,N/A
402,Ben S.,03 Jun 2021,United States,5,Feels great and works perfectly as designed,"Wearing this under an ornot lightweight long sleeve jersey with a vest and arm warmers is perfect for seattle spring. If I could wear one of these for every time under 70 degrees, I would.",N/A,Merino Base Layer - Dark Sapphire,XL,N/A
403,Jimmy W.,18 May 2021,United States,5,Best base layer ever !,"Excellent, not scratchy, warm when it needs to be, cool when it needs to be. Maybe long sleeve coming soon 🤔",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
404,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
405,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
406,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
407,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
408,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
409,Aron A.,22 Apr 2021,United States,4,"Great, but better if longer","Really happy with the construction and fit, but would like to see them just a bit longer. Length is fine when paired with bibs, but could use an extra inch or so when riding with shorts. That said, they don't ride up at all and have become my first-choice layer during the unpredictable New England spring.

6'3"" 170lb",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
410,David B.,20 Apr 2021,United States,5,The Base,"Never thought this tank cut would keep me warm when riding in Santa Cruz and the peninsula area, but I was wrong! Ornot got this one right! Great fit and love the warmth on those cool morning rides…
David in SC",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
411,Pat S.,20 Apr 2021,United States,5,BASE JUMPER,Excellent !,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
412,Jesse P.,14 Apr 2021,United States,4,great quality but too thick for me,"It was a super well made item, but ultimately I like a thinner baselayer. If you don't mind slightly thicker, it's amazing.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
413,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
414,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
415,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
416,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
417,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
418,Christopher C.,14 Apr 2021,United States,5,Buying 5 more of these,These are great!,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
419,Carrie B.,08 Apr 2021,United States,5,Love it!,"I have many wool base layers to wear under my cycling clothes, and this one is definitely one of the best in my collection.",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
420,Nathaniel K.,08 Apr 2021,United States,5,Perfect for 50-70 degree weather,"Light but effective, this is an ideal San Francisco base layer (excluding those early mornings in the winter)",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
421,Jacob O.,08 Apr 2021,United States,5,The best,"Two rides in, and this is already my favorite base layer. It's lightweight, comfortable, and much warmer than it looks. I'll be getting another one soon.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
422,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
423,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
424,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
425,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
426,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
427,Joachim K.,03 Apr 2021,United States,5,A must have,This is super comfortable to wear and provides the extra warmth that you need on cold morning rides. Breathes really well during the warmer hours as well.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
428,Christine C.,01 Apr 2021,United States,5,Merino Heaven,Love this base layer. I have already used it over and over- it;s become my standard for winter and spring riding. Keeps me warm and breathes- perfection!,N/A,Merino Base Layer - Dark Sapphire,SM,N/A
429,Ryan S.,17 Mar 2021,United States,5,Base layer,Great simple base layer!,N/A,Merino Base Layer - Dark Sapphire,,N/A
430,Kevin W.,17 Mar 2021,United States,5,Great Base Layer!,"Read some of the reviews, patiently waited until my size was in stock, and must admit that I was uncertain how well it would work for me, but this base layer has been amazing with helping pull the sweat away from me. I've only been able to use it for indoor training, so far, and it is certainly a great item to train with.

The color is great so major kudos to a functional and stylish item!",N/A,Merino Base Layer - Dark Sapphire,,N/A
431,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
432,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
433,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
434,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
435,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
436,Andy f.,14 Jan 2021,United States,5,Really hard to take off,"It took me a while to put this piece to use as I’ve been in pretty deep wuss mode this winter. On its debut I found the fabric to feel soft and lovely against the skin. Warmer than you’d expect for a vest, yet still breathable as heck. 
Both times I’ve worn it, it’s stayed on long after the rest of my kit is off. Just feels so nice!!! I can’t wait for some more Ornot base layer variations (short sleeve/long sleeve?) applying this dreamy stuff. I’ve got the sweatshirt in my basket now.",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
437,John W.,16 Dec 2020,United States,5,"Comfy, functional and warm.",Comfortable and warm but breathes well. Love merino wool.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
438,Travis G.,15 Dec 2020,United States,5,A++,This is an amazing base layer! My new go to for the winter!,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
439,Damon B.,14 Dec 2020,United States,5,Warm to the touch!!!,This is a great base layer. It doesn’t overstretch when it gets wet and it doesn’t feel hard and stiff after drip dry it..,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
440,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
441,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
442,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
443,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
444,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
445,stephen h.,13 Dec 2020,United States,5,Great 1st layer,As the temps dip below 55 I’ll be using this as my first layer. ,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
446,Jonathan C.,13 Dec 2020,United States,5,Great cycling base layer,This base layer is surprisingly soft against the skin and very breathable especially for merino. The color and branding are nice and subdued so good for wearing alone as well. Fit is true to size. Ornot’s commitment to 1% for the planet makes it even better.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
447,Dan G.,12 Dec 2020,United States,5,Why did I wait so long?,"I’ll admit it I’m new to the base layer game but this piece has me wondering why I waited so long. Soft, smooth form fitting goodness. You don’t notice it’s there until you do and then you are happy to have it on regulating your temp and keeping you dry. I will be ordering more of these for sure. 

Size sm 5’5 145 ",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
448,John M.,07 Dec 2020,United States,5,Great base layer,Perfect for expanding the temperature range of any outer layer. Plus no sleeves to get bunched up when pulling a fitted jersey over top.,N/A,Merino Base Layer - Dark Sapphire,SM,N/A
449,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
450,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
451,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
452,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
453,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
454,Frank L.,24 Nov 2020,United States,5,Nice Addition,It's proven good on 40/50f days coupled on top with the Thermal Jersey & Wind Vest. At ~38-42f I'm comfortably warm using it under a long sleeve base or Thermal Jersey and a Magic Shell.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
455,Jarkko A.,19 Nov 2020,Finland,5,Fantastic,"My go to base layer. Been using it under the LS trail shirt when riding and it does its job...and then some. Soft,no chafing & dries quickly. Great under your sweater or button down too. Highly recommended.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
456,Benjamin G.,10 Nov 2020,United States,5,perfect weight,"needed this like yesterday. soft, comfy and warm at just the right time. Pairing with the house jersey at the moment",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
457,Brian O.,06 Nov 2020,United States,5,Base layer,Waiting to use them on our winter trip,N/A,Merino Base Layer - Dark Sapphire,XL,N/A
458,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
459,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
460,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
461,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
462,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
463,christian d.,28 Oct 2020,United States,5,Cool base layer,Perfection fit. Great warm base layer ,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
464,Alejandro G.,22 Oct 2020,United States,5,Wonderful Base,"I've taken this out on a few rides so far in layered at 50° and double layered at 40° and triple layered at 30°F and this has done a great job of heat reg, even with 3 layers on top. It's got some stretch but I've got a gut so I sized up and I'm glad I did. Would recommend. Now please make a long sleeve version. ",N/A,Merino Base Layer - Dark Sapphire,XL,N/A
465,Anthony F.,20 Oct 2020,United States,5,Great!,"Really great for regulating body temperature. I generally wear a gilet when it’s below 65f but with these, there’s no need. 

Only recommendation I would make, BRANDING. Definitely feels like a missed opportunity to not add ornot branding on the chest like most base layers do. ",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
466,Nehemiah B.,16 Oct 2020,United States,5,Does a good job of keeping me warm,Perfect base layer for colder morning rides when I don't want to wear a winter jersey or wind coat.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
467,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
468,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
469,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
470,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
471,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
472,Christopher S.,13 Oct 2020,United States,5,My 2nd purchase of the merino base layer. So good.,Highly recommend for cold SF Rides if you need a temperature regulating garment. Wicks great and never overheats. Buy while they are in stock.,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
473,Jack S.,05 Aug 2020,United States,5,Merino Base Layer,Good fit. Feels like typical Ornot high quality. Good purchase. ,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
474,Ryan K.,19 Jun 2020,United States,5,Excellent baselayer,"Perfectly snug under my jersey on those chillier morning rides. Easy to wash, and dries quick for the afternoon ride.",N/A,Merino Base Layer - Dark Sapphire,SM,N/A
475,Michael G.,10 Jun 2020,United States,5,Perfect supplement to wardrobe,Excellent for changing weather conditions.,N/A,Merino Base Layer - Dark Sapphire,XL,N/A
476,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
477,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
478,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
479,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
480,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
481,Jorge M.,01 Jun 2020,United States,5,Invisibly comfortable,Both the way it was designed and materials used are brilliantly put together. I rode about 50 miles with it on Saturday and my core body temperature stayed stable the whole time. It was so comfortable I forgot I was wearing it.,N/A,Merino Base Layer - Dark Sapphire,LG,N/A
482,Chris S.,11 May 2020,United States,5,Merino Base Layer,This item is magic. I wear it cycling and hiking. ,N/A,Merino Base Layer - Dark Sapphire,MD,N/A
483,Manny,16 Apr 2020,United States,5,I’m Sold!,"I was hesitant about the whole base layer revolution. Would it keep me cool? Would I overheat? Would it actually have any tangible benefit? I tried a few layers from other brands and was not convinced. This is the base layer that sold me on the concept. I recommend this fabric at any and every temperature up to 70 degrees Fahrenheit. It’s insanely comfortable, warm, breathable and generally perfect. Accept no imposters!",N/A,Merino Base Layer - Dark Sapphire,MD,N/A
484,Robert S.,14 Apr 2020,United States,5,Fantastic Base Layer,"First several rides have been great. I have worn it with a short sleeve jersey and the magic shell jacket in 40 degree weather and was the perfect temperature. Similarly, I’ve paired it with the lightweight long sleeve jersey and was good to go on a 55 degree day. ",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
485,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
486,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
487,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
488,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
489,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
490,Adam C.,07 Apr 2020,United States,5,Wonderful base layer,"Keeps me warm, fits as expected. Very satisfied",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
491,William A.,07 Apr 2020,United States,5,amazing base layer for hot and cold weather,"Love this base layer - fits perfectly on me (size Large, 6'6"" 190 lbs). The merino material never smell even if you fit a cheeky second (or third) ride before washing it (for bike packing, of course). Not only that, but it gets rid of sweat ASAP. I strongly recommend it.",N/A,Merino Base Layer - Dark Sapphire,LG,N/A
492,Neil W.,01 Apr 2020,United Arab Emirates,5,Base Layer,"Used in combination with Magic Shell for temperatures around 10C with no problems. Great quality and fit as always from Ornot, just wish they did a long sleeve version.",N/A,Merino Base Layer - Dark Sapphire,,N/A
493,Wesley S.,06 Mar 2020,United States,5,Oat milk warmth!,"This is the best base layer I have used to date. The others I have used were too itchy, too hot or too cold. This base layer is the right temp and worthy of pajama comfort!",N/A,Merino Base Layer - Dark Sapphire,,N/A
494,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
495,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
496,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
497,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
498,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
499,Tuomas V.,05 Jun 2023,United States,5,"Awesome design, looks great!",~1 minute from a small-to-medium size hole on front tire to back riding last weekend at Unbound Gravel. 2 plugs quickly in was enough to plug the hole and was so fast that I didn’t even need to pump the tire as not too much air got out yet.,N/A,Dynaplug - Racer Pro,Purple,N/A
500,Mike S.,24 Jan 2023,United States,5,Super Light,"Super light, and a great backup plan for myself or other riders. ",N/A,Dynaplug - Racer Pro,Olive,N/A
501,Stephen B.,08 Nov 2022,United States,5,Quality product in small form factor,"Shorter length fits in SILCA Mattone small seat pack, color is vibrant and comes equipped with two small small and medium plugs",N/A,Dynaplug - Racer Pro,Purple LIMITED,N/A
