,users,date,location,star,headers,body,fit,product,size,height and weight
82,Charles J.,16 Oct 2022,United States,5,"The best casual cycling shorts I've tried, even with a few nits.","After eyeing up the Mission Shorts for awhile, I finally went to hit ""Purchase"", only to be pleasantly surprised that Ornot had just released the Lightweight version! I was actually a bit reluctant to order the original version, as other friends and reviews had mentioned that the material can be a bit thick and the shorts can get hot, so it was perfect timing.

After wearing them for a few weeks, I am very, very, very happy with these shorts. I am normally a swrve guy, having owned multiple pairs of pants, trousers, knickers, and most recently, their Transverse lightweight shorts. I really love swrve stuff, but their sizing and cuts can be a bit inconsistent, leading to some low waists, high crotches, and tight thighs. Plus, I was really excited to find that Ornot's stuff is still being made in the US!

Compared to the best-fitting stuff I have from swrve, which fits me pretty well, these Lightweight Mission Shorts fit me *perfectly*, and are even more lightweight. I usually am a 30"" in virtually all other brands, and also took a tape measure to myself and other pairs of shorts. I found the slightly generous ""16in for a 30"" waist"" sizing and cut to be very comfortable, allowing me to wear them slightly above the hips for a 'normal-rise' fit without causing any crotch tightness or discomfort. The material is surprisingly lightweight. The thighs are very comfortable and leave good room for me without looking baggy at all. For real, you don't realize how poorly other shorts fit you until you put a pair of these on.

Things I love:
- The high waisted cut.
- The flat edge of the pocket is along the outside of the thigh, so that things feel very secure (as opposed to the flat edge being along the front of the thigh).
- I really appreciate the reinforced belt loop for keys.
- The slash pockets as opposed to jean-style pockets.

Minor nits:
- The 8.5"" inseam is noticeably shorter for me than the 9"" on my swrve. Be prepared to show some leg while pedaling!
- The front pockets could use a bit more finishing. There is only one stitch at the seam of the pocket, but while riding, the inside material of the pocket tends to want to flip and bunch outwards, creating a kind of awkward billow. It's very subtle, but enough to bother me.
- No reflectivity. Give me some reflective belt loops like swrve! Or even a subtle thing like a reflective Ornot tag along one of the legs instead of the non-reflective logo tag.
- I'm not crazy about the angled back pockets. They seem to knock something that would have otherwise passed as 'normal' clothing into an 'athletic-y, not-so-casual' item.
- On my swrve shorts, the zip pocket is the rear left, and the rear right is open. I like this configuration because I put my wallet in the left and tuck keys into the right. On these Ornot shorts, the open side is left and the zipper is right, leading to an unsecured wallet and over-secured/hard to access keys. I recognize this is a personal thing, but wish it either matched my swrve shorts or were both just zippered.

All the above being said, these shorts are a 4.75 out of 5 for me. These shorts very quickly kicked out my swrve Transverse as my daily-driver short. I just wish I could afford more pairs in more colors! I'll also now consider getting a pair of the regular-weight shorts for the transition seasons. Really great purchase overall.",N/A,Lightweight Mission Short - Slate,30,N/A
83,Ryan D.,16 Oct 2022,United States,5,Super Light,The first thing I thought when I put these on was that these are going to feel amazing on the trail. I love Ornot’s mission shorts and these are another thoughtful iteration of the original shorts. I have had a few different types of shorts for trail riding but they often feel restrictive and I’d rather wear bibs—these lightweight mission shorts don’t have that problem.,N/A,Lightweight Mission Short - Slate,32,N/A
84,Johnathan S.,12 Oct 2022,United States,5,Refinement of already great shorts,The original Mission shirts are my favorite of all time and these are great too. Fabric fits slightly looser in the same size but it’s ideal for this material.,N/A,Lightweight Mission Short - Slate,32,N/A
85,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
86,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
87,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
88,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
89,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
90,Michael O.,12 Oct 2022,United States,5,Lightweight mission short in stone blue,"These are my fourth pair of mission shorts, and for good reason. I love the lighter weight and thinner material. Absolutely, great for warmer days and activities that heat you up, like running. I’ve put mine through the ringer. Cycling, running, gym/weight training and fast day hikes. I’m 5’8” and 156 lbs. and medium/32 waist fits me perfectly. My last 3 pair, are consistent in size. But, my first ran a little bigger, but work great with a padded undershort for long rides. I’ve worn the typical lycra, cyclist garb for 30 years and am tired of that look. It’s nice that Ornot has quality, performance pieces with an understated look, and zero sacrifice in usability. Plus, my girlfriend says,” I look rad in them.” Hahaha",N/A,Lightweight Mission Short - Stone Blue,32,N/A
91,Matt B.,12 Oct 2022,United States,4,"Lighter than the original, a little swishy","I have pretty much every color of the original Mission Shorts and absolutely love them, so I was not mad to see an even lighter weight version. The fit is similar and the material is decidedly thinner. I haven't had a chance to wear these anywhere hot yet, so I can't say how they compare for that, probably making this review useless overall. The biggest con so far is that the material is kind of a ""hard"" swishy tech fabric, so the pants are kind of loud. I'm going to wear them for stuff like hiking, gardening, chores around town - but probably less inclined to go out for dinner in em, because of the obvious tech-ness of the material.",N/A,Lightweight Mission Short - Stone Blue,30,N/A
